filename, language, JSON, JavaScript, Vue, comment, blank, total
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\App.vue, Vue, 0, 0, 39, 0, 3, 42
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\components\add\AddComponent.vue, Vue, 0, 0, 142, 4, 9, 155
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\components\details\DetailsForm.vue, Vue, 0, 0, 96, 0, 3, 99
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\components\details\ItemComponent.vue, Vue, 0, 0, 34, 0, 2, 36
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\components\goals\GoalBlock.vue, Vue, 0, 0, 57, 0, 2, 59
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\components\login\LoginBlock.vue, Vue, 0, 0, 93, 1, 3, 97
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\components\login\RegisterBlock.vue, Vue, 0, 0, 95, 1, 3, 99
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\components\mainPage\Logo.vue, Vue, 0, 0, 37, 0, 2, 39
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\components\mainPage\Menu.vue, Vue, 0, 0, 39, 0, 2, 41
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\components\menagement\EditCat.vue, Vue, 0, 0, 99, 0, 3, 102
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\components\menagement\EditExpense.vue, Vue, 0, 0, 102, 0, 7, 109
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\components\menagement\EditGoal.vue, Vue, 0, 0, 88, 0, 2, 90
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\components\menagement\ExpenItem.vue, Vue, 0, 0, 56, 0, 2, 58
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\components\menagement\GoalManage.vue, Vue, 0, 0, 51, 0, 2, 53
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\components\menagement\ItemComponent.vue, Vue, 0, 0, 46, 0, 2, 48
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\components\menu\LevelBlock.vue, Vue, 0, 0, 26, 0, 2, 28
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\components\menu\LinkBlock.vue, Vue, 0, 0, 31, 0, 2, 33
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\components\menu\SignOutBlock.vue, Vue, 0, 0, 22, 0, 2, 24
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\components\menu\UserBlock.vue, Vue, 0, 0, 47, 0, 2, 49
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\components\reusable\BarComponent.vue, Vue, 0, 0, 27, 0, 2, 29
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\components\reusable\ButtonComponent.vue, Vue, 0, 0, 36, 0, 2, 38
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\components\reusable\HeaderBlock.vue, Vue, 0, 0, 18, 0, 2, 20
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\components\reusable\InputBlock.vue, Vue, 0, 0, 43, 3, 2, 48
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\components\reusable\MediumBlock.vue, Vue, 0, 0, 44, 0, 2, 46
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\components\reusable\SmallBlock.vue, Vue, 0, 0, 52, 0, 2, 54
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\db\db.json, JSON, 14, 0, 0, 0, 0, 14
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\db\expense.json, JSON, 16, 0, 0, 0, 0, 16
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\db\goal.json, JSON, 20, 0, 0, 0, 0, 20
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\main.js, JavaScript, 0, 13, 0, 0, 6, 19
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\router\index.js, JavaScript, 0, 48, 0, 9, 5, 62
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\views\Dashboard.vue, Vue, 0, 0, 64, 0, 3, 67
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\views\Details.vue, Vue, 0, 0, 98, 1, 7, 106
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\views\LoginPage.vue, Vue, 0, 0, 112, 0, 5, 117
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\views\MainPage.vue, Vue, 0, 0, 52, 0, 3, 55
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\views\Management.vue, Vue, 0, 0, 198, 5, 28, 231
c:\Users\Damian\Desktop\2 Week Project\your-wallet\src\views\UserSettings.vue, Vue, 0, 0, 157, 4, 9, 170
Total, -, 50, 61, 2101, 28, 133, 2373
